iter	RMSE
486	9097.704624
487	9084.537555
488	9083.721261
489	9070.159441
490	9060.840323
491	9047.120458
492	9031.783285
493	9023.092155
494	9014.011147
495	9003.514134
496	8998.217085
497	8985.509285
498	8980.931473
499	8976.937773
500	8964.928778
501	8958.605496
502	8948.400667
503	8930.152238
504	8921.303435
505	8912.675582
506	8905.345463
507	8904.606447
508	8892.047559
509	8881.070621
510	8869.356739
511	8855.009477
512	8849.107422
513	8837.894565
514	8837.189383
515	8832.666434
516	8818.590383
517	8804.969429
518	8797.876372
519	8785.893488
520	8778.047862
521	8765.195904
522	8750.330156
523	8737.483037
524	8730.936037
525	8718.673911
526	8708.03969
527	8694.815482
528	8682.951479
529	8675.388714
530	8667.556848
531	8654.551742
532	8649.086938
533	8638.53378
534	8623.906256
535	8611.054338
536	8604.994269
537	8594.073646
538	8579.672803
539	8571.066173
540	8564.590444
541	8552.529158
542	8542.003947
543	8531.990867
544	8521.647393
545	8509.461667
546	8504.353996
547	8490.684797
548	8484.112082
549	8470.531599
550	8463.701662
551	8452.969118
552	8446.710273
553	8434.845288
554	8421.458965
555	8413.807202
556	8413.349145
557	8405.575238
558	8396.969595
559	8386.568828
560	8382.593471
561	8376.486148
562	8370.245785
563	8364.38014
564	8350.935251
565	8338.916075
566	8333.460813
567	8332.867444
568	8319.239596
569	8305.72498
570	8298.408383
571	8281.961002
572	8271.97434
573	8263.382587
574	8254.132145
575	8245.902748
576	8235.724975
577	8224.195763
578	8215.502999
579	8205.205889
580	8197.784324
581	8192.246945
582	8182.148172
583	8176.188953
584	8168.756475
585	8160.179624
586	8151.345229
587	8143.889517
588	8132.601342
589	8124.772568
590	8114.387479
591	8104.698766
592	8097.325274
593	8088.384709
594	8079.982898
595	8075.435484
596	8062.793422
597	8052.294908
598	8046.28061
599	8033.432255
600	8022.768851
601	8017.760742
602	8011.371884
603	8001.538133
604	7990.94204
605	7983.768407
606	7976.730066
607	7970.04091
608	7955.222268
609	7940.789564
610	7933.143741
611	7927.256801
612	7920.443041
613	7909.941315
614	7901.091064
615	7891.517084
616	7886.809634
617	7883.527256
618	7875.357454
619	7867.847554
620	7857.825327
621	7850.119338
622	7840.43321
623	7832.835879
624	7828.551489
625	7818.984325
626	7812.07237
627	7802.642195
628	7792.776369
629	7781.998088
630	7772.055291
631	7765.924588
632	7760.140418
633	7753.137777
634	7747.321618
635	7744.134856
636	7737.305842
637	7730.014293
638	7723.941053
639	7714.985425
640	7707.414172
641	7703.325664
642	7699.477299
643	7690.735159
644	7683.242577
645	7674.885015
646	7668.26541
647	7660.500387
648	7654.391465
649	7646.13107
650	7638.69962
651	7630.275773
652	7624.003616
653	7612.839857
654	7603.319426
655	7596.022337
656	7589.802996
657	7581.258452
658	7572.38282
659	7566.065851
660	7556.476775
661	7550.63453
662	7539.399135
663	7539.014197
664	7532.662064
665	7526.136353
666	7517.312694
667	7517.038883
668	7508.422077
669	7498.081611
670	7490.166199
671	7481.222653
672	7475.494567
673	7467.558582
674	7461.182615
675	7454.309832
676	7453.934897
677	7447.571504
678	7441.790674
679	7434.453446
680	7428.815118
681	7419.563652
682	7414.706185
683	7406.833438
684	7398.024403
685	7392.028158
686	7381.772518
687	7375.592204
688	7367.474106
689	7360.099686
690	7355.652234
691	7345.826686
692	7339.194585
693	7334.146453
694	7324.66799
695	7319.495012
696	7315.748929
697	7309.392796
698	7303.010408
699	7295.54421
700	7293.99076
701	7286.903159
702	7281.120223
703	7276.306714
704	7268.096088
705	7260.10018
706	7252.848361
707	7245.050155
708	7236.325727
709	7229.461832
710	7221.954945
711	7213.259303
712	7206.479361
713	7199.641232
714	7192.710901
715	7185.528769
716	7176.258338
717	7172.365382
718	7165.370441
719	7156.559382
720	7152.0407
721	7147.011734
722	7142.497182
723	7137.405004
724	7131.743131
725	7124.97037
726	7119.400399
727	7114.05741
728	7107.550999
729	7102.48452
730	7097.445753
731	7091.462872
732	7086.158803
733	7081.793479
734	7075.556552
735	7070.267621
736	7063.518079
737	7057.462694
738	7051.220938
739	7044.817094
740	7037.376715
741	7031.853111
742	7026.329953
743	7019.161984
744	7012.729251
745	7006.99098
746	7003.002127
747	6996.788458
748	6987.402569
749	6985.374899
750	6978.314442
751	6971.527364
752	6963.92089
753	6956.321304
754	6949.222571
755	6942.837336
756	6937.253523
757	6928.406435
758	6918.852314
759	6911.326103
760	6906.60877
761	6899.201651
762	6893.07295
763	6887.077913
764	6881.5044
765	6875.13065
766	6869.820148
767	6861.366553
768	6859.738863
769	6854.337998
770	6846.765638
771	6839.606212
772	6838.303462
773	6831.81754
774	6826.894681
775	6818.901759
776	6812.797323
777	6806.549148
778	6802.744814
779	6797.072517
780	6792.412252
781	6786.632857
782	6780.490101
783	6776.364834
784	6769.451121
785	6763.21546
786	6757.276957
787	6751.640558
788	6744.931686
789	6739.540933
790	6733.520246
791	6727.296383
792	6723.043667
793	6720.465855
794	6718.227883
795	6713.031186
796	6708.420828
797	6704.680744
798	6699.697779
799	6694.010561
800	6688.724282
801	6684.672338
802	6682.86709
803	6678.198677
804	6672.751183
805	6669.143344
806	6664.218782
807	6656.693507
808	6652.279089
809	6644.915963
810	6640.939865
811	6638.13292
812	6632.476079
813	6628.42272
814	6619.198164
815	6615.393219
816	6612.442105
817	6606.463696
818	6599.119387
819	6591.701142
820	6584.765286
821	6579.075277
822	6577.856679
823	6572.879201
824	6567.089031
825	6563.509521
826	6557.284146
827	6551.770861
828	6545.37984
829	6540.501291
830	6534.848949
831	6529.474952
832	6524.567968
833	6519.595221
834	6515.345947
835	6506.437503
836	6503.537847
837	6499.462944
838	6495.132524
839	6491.191978
840	6488.940664
841	6485.217748
842	6479.449048
843	6474.463086
844	6471.735885
845	6468.325985
846	6464.762957
847	6461.5818
848	6457.239579
849	6453.151879
850	6447.7145
851	6440.728198
852	6433.810178
853	6429.554905
854	6426.053892
855	6424.716831
856	6422.889462
857	6421.735448
858	6417.179911
859	6412.397877
860	6407.032591
861	6402.059124
862	6395.730383
863	6390.23341
864	6385.749396
865	6379.601482
866	6375.531211
867	6370.842532
868	6365.818765
869	6361.464611
870	6357.557881
871	6355.467093
872	6350.971522
873	6347.670114
874	6342.92549
875	6342.813666
876	6341.773718
877	6337.101092
878	6333.799421
879	6329.948695
880	6325.003036
881	6320.990008
882	6313.832653
883	6310.802914
884	6307.423034
885	6303.952718
886	6298.070136
887	6293.058259
888	6287.281455
889	6284.042991
890	6277.834876
891	6277.728497
892	6272.160463
893	6265.692723
894	6262.341574
895	6259.775497
896	6256.891652
897	6251.807434
898	6244.954871
899	6241.125003
900	6236.111761
901	6234.134053
902	6229.679138
903	6224.478915
904	6221.106959
905	6220.142672
906	6214.358474
907	6210.960547
908	6210.848275
909	6206.521655
910	6202.336263
911	6198.103945
912	6193.06407
913	6190.226615
914	6189.205554
915	6183.964147
916	6181.691067
917	6178.25171
918	6177.631131
919	6172.906792
920	6168.637594
921	6168.32904
922	6165.065598
923	6159.69991
924	6155.860332
925	6153.178347
926	6148.775303
927	6143.697745
928	6140.138505
929	6134.879463
930	6130.786222
931	6125.82241
932	6123.605921
933	6119.625802
934	6114.436233
935	6111.231706
936	6107.770935
937	6104.203247
938	6098.295248
939	6096.258029
940	6092.624469
941	6088.676922
942	6083.586706
943	6080.78715
944	6077.444218
945	6073.591808
946	6067.215916
947	6062.638321
948	6059.432568
949	6056.07849
950	6051.328228
951	6045.575119
952	6040.85892
953	6035.532289
954	6032.807773
955	6028.329077
956	6023.677289
957	6020.312653
958	6016.540581
959	6013.290779
960	6008.522325
961	6004.632243
962	5999.603919
963	5997.487723
964	5992.890301
965	5986.635286
966	5981.555404
967	5976.637127
968	5972.955291
969	5967.331822
970	5963.357363
971	5960.603135
972	5955.946198
973	5952.555914
974	5949.426765
975	5940.225026
976	5935.574901
977	5932.113411
978	5927.820169
979	5923.585033
980	5923.446782
981	5920.394021
982	5917.158523
983	5912.368104
984	5908.280678
985	5904.524425
986	5899.884515
987	5896.648756
988	5891.857471
989	5887.287004
990	5883.71065
991	5879.381487
992	5875.314628
993	5873.089757
994	5870.322329
995	5867.998339
996	5865.282883
997	5864.018343
998	5858.889255
999	5856.416367
